School ID,NAME_OF_SCHOOL,HEALTHY_SCHOOL_CERTIFIED,SAFETY_SCORE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME
609694,John Hancock College Preparatory High School,No,51,967,62,WEST ELSDON
609971,John Harvard Elementary School of Excellence,No,51,476,69,GREATER GRAND CROSSING
609975,John Hay Elementary Community Academy,No,44,554,25,AUSTIN
609964,John H Hamline Elementary School,No,33,679,61,NEW CITY
610026,John H Kinzie Elementary School,No,64,733,56,GARFIELD RIDGE
610207,John H Vanderpoel Elementary Magnet School,No,74,317,72,BEVERLY
609782,John J Audubon Elementary School,No,95,580,5,NORTH CENTER
610126,John J Pershing Elementary Humanities Magnet,No,,258,35,DOUGLAS
610054,John L Marsh Elementary School,No,72,841,51,SOUTH DEERING
609723,John Marshall Metropolitan High School,No,51,726,27,EAST GARFIELD PARK
609710,John M Harlan Community Academy High School,No,,1245,49,ROSELAND
609954,John Milton Gregory Elementary School,No,44,323,27,EAST GARFIELD PARK
610180,John M Smyth Elementary School,No,37,475,28,NEAR WEST SIDE
610199,Johnnie Colemon Elementary Academy,No,60,266,53,WEST PULLMAN
610111,John Palmer Elementary School,No,75,919,14,ALBANY PARK
609775,John P Altgeld Elementary School,No,48,527,67,WEST ENGLEWOOD
610184,John Spry Elementary Community School,No,66,809,30,SOUTH LAWNDALE
610269,John T McCutcheon Elementary School,No,56,355,3,UPTOWN
610130,John T Pirie Fine Arts & Academic Center Elementary School,No,26,384,44,CHATHAM
609864,John W Cook Elementary School,No,,482,71,AUBURN GRESHAM
609937,John W Garvy Elementary School,No,60,720,10,NORWOOD PARK
610225,John Whistler Elementary School,No,45,375,53,WEST PULLMAN
609828,Jonathan Burr Elementary School,No,71,348,24,WEST TOWN
610159,Jonathan Y Scammon Elementary School,No,44,937,16,IRVING PARK
609865,Jordan Elementary Community School,No,61,753,1,ROGERS PARK
610313,Jose De Diego Elementary Community Academy,Yes,57,869,24,WEST TOWN
609950,Josefa Ortiz De Dominguez Elementary School,No,,793,30,SOUTH LAWNDALE
610242,Joseph Brennemann Elementary School,No,50,362,3,UPTOWN
609938,Joseph E Gary Elementary School,No,32,1204,30,SOUTH LAWNDALE
610041,Josephine C Locke Elementary School,No,57,1317,18,MONTCLARE
610015,Joseph Jungman Elementary School,No,36,286,31,LOWER WEST SIDE
609925,Joseph Kellman Corporate Community Elementary School,No,58,293,27,EAST GARFIELD PARK
610043,Joseph Lovett Elementary School,No,43,490,25,AUSTIN
610189,Joseph Stockton Elementary School,No,37,462,3,UPTOWN
610218,Joseph Warren Elementary School,No,33,328,48,CALUMET HEIGHTS
610019,Joshua D Kershaw Elementary School,No,62,262,68,ENGLEWOOD
610129,Josiah Pickard Elementary School,No,50,656,31,LOWER WEST SIDE
610022,Joyce Kilmer Elementary School,No,,886,1,ROGERS PARK
610253,Julia C Lathrop Elementary School,No,67,83,29,NORTH LAWNDALE
610000,Julia Ward Howe Elementary School of Excellence,No,67,576,25,AUSTIN
610280,Kate S Buckingham Special Education Center,No,31,26,48,CALUMET HEIGHTS
610016,Kate S Kellogg Elementary School,No,76,283,72,BEVERLY
609716,Kelvyn Park High School,No,32,1252,20,HERMOSA
609746,Kenwood Academy High School,No,63,1852,39,KENWOOD
609719,Lake View High School,No,64,1500,6,LAKE VIEW
610368,Langston Hughes Elementary School,No,28,424,49,ROSELAND
610033,LaSalle Elementary Language Academy,No,99,576,7,LINCOLN PARK
610520,LaSalle II Magnet Elementary School,No,66,609,24,WEST TOWN
609910,Laughlin Falconer Elementary School,No,54,1520,19,BELMONT CRAGIN
610133,Laura S Ward Elementary School,No,,429,23,HUMBOLDT PARK
610034,Lawndale Elementary Community Academy,No,,508,29,NORTH LAWNDALE
610024,Lazaro Cardenas Elementary School,No,,654,30,SOUTH LAWNDALE
609907,Leif Ericson Elementary Scholastic Academy,No,33,518,27,EAST GARFIELD PARK
610298,Lenart Elementary Regional Gifted Center,No,79,328,44,CHATHAM
610036,Leslie Lewis Elementary School,No,21,565,25,AUSTIN
609738,Lincoln Park High School,No,65,2342,7,LINCOLN PARK
609807,Lionel Hampton Fine & Performing Arts Elementary School,No,42,658,70,ASHBURN
609834,Little Village Elementary School,No,45,842,30,SOUTH LAWNDALE
610325,Logandale Middle School,No,56,941,21,AVONDALE
609809,Lorenz Brentano Math & Science Academy Elementary School,No,57,455,22,LOGAN SQUARE
609773,Louis A Agassiz Elementary School,No,53,432,6,LAKE VIEW
609774,Louisa May Alcott Elementary School,No,,481,7,LINCOLN PARK
610156,Louis Armstrong Math & Science Elementary School,No,42,93,25,AUSTIN
610094,Louis Nettelhorst Elementary School,No,58,729,6,LAKE VIEW
610117,Louis Pasteur Elementary School,No,50,1173,62,WEST ELSDON
610237,Ludwig Van Beethoven Elementary School,No,40,411,38,GRAND BOULEVARD
610108,Luke O'Toole Elementary School,No,5,511,67,WEST ENGLEWOOD
609818,Luther Burbank Elementary School,No,37,1139,19,BELMONT CRAGIN
609817,Lyman A Budlong Elementary School,No,59,864,4,LINCOLN SQUARE
610205,Lyman Trumbull Elementary School,No,56,438,77,EDGEWATER
610369,Mahalia Jackson Elementary School,No,38,323,71,AUBURN GRESHAM
610197,Mancel Talcott Elementary School,No,63,580,24,WEST TOWN
609722,Manley Career Academy High School,No,41,599,27,EAST GARFIELD PARK
609872,Manuel Perez Elementary School,Yes,45,426,31,LOWER WEST SIDE
610128,Marcus Moziah Garvey Elementary School,No,50,356,73,WASHINGTON HEIGHTS
610544,Mariano Azuela Elementary School,No,54,873,65,WEST LAWN
610017,Maria Saucedo Elementary Scholastic Academy,No,60,1306,30,SOUTH LAWNDALE
609756,Marie Sklodowska Curie Metropolitan High School,No,43,3320,57,ARCHER HEIGHTS
610502,Marine Military Math and Science Academy ,No,41,366,28,NEAR WEST SIDE
610081,Mark Sheridan Elementary Math & Science Academy,No,74,535,60,BRIDGEPORT
610177,Mark Skinner Elementary School,No,87,784,28,NEAR WEST SIDE
610206,Mark Twain Elementary School,No,67,1161,56,GARFIELD RIDGE
610053,Marquette Elementary School,No,15,1390,66,CHICAGO LAWN
610152,Martha Ruggles Elementary School,No,43,417,69,GREATER GRAND CROSSING
610154,Martin A Ryerson Elementary School,No,40,445,23,HUMBOLDT PARK
610539,Marvin Camras Elementary School,No,54,826,19,BELMONT CRAGIN
610355,Mary E Courtenay Elementary Language Arts Center,No,99,257,6,LAKE VIEW
610312,Mary E McDowell Elementary School,No,,188,48,CALUMET HEIGHTS
610127,Mary Gage Peterson Elementary School,No,62,860,13,NORTH PARK
610046,Mary Lyon Elementary School,No,55,1423,19,BELMONT CRAGIN
609888,Mary Mapes Dodge Elementary Renaissance Academy,No,57,434,27,EAST GARFIELD PARK
610365,Mary McLeod Bethune Elementary School,No,53,362,27,EAST GARFIELD PARK
610535,Mason High School,No,50,48,29,NORTH LAWNDALE
610240,Matthew A Henson Elementary School,No,37,271,29,NORTH LAWNDALE
609935,Matthew Gallistel Elementary Language Academy,No,49,1408,52,EAST SIDE
610362,Medgar Evers Elementary School,No,27,367,73,WASHINGTON HEIGHTS
609928,Melville W Fuller Elementary School,No,22,241,38,GRAND BOULEVARD
610055,Michael Faraday Elementary School,No,35,194,27,EAST GARFIELD PARK
609832,Michael M Byrne Elementary School,No,63,705,56,GARFIELD RIDGE
610244,Michele Clark Academic Prep Magnet High School,No,,726,25,AUSTIN
610208,Mildred I Lavizzo Elementary School,No,15,394,49,ROSELAND
609830,Milton Brunson Math & Science Specialty Elementary School ,No,30,658,25,AUSTIN
610011,Minnie Mars Jamieson Elementary School,No,64,811,2,WEST RIDGE
610018,Miriam G Canter Middle School,No,57,222,39,KENWOOD
609725,Morgan Park High School,No,40,1584,75,MORGAN PARK
610257,Morton School of Excellence,No,53,349,23,HUMBOLDT PARK
610075,Moses Montefiore Special Elementary School,No,28,21,28,NEAR WEST SIDE
610082,Mount Greenwood Elementary School,No,84,909,74,MOUNT GREENWOOD
610086,Mount Vernon Elementary School,No,31,290,73,WASHINGTON HEIGHTS
610385,Multicultural Academy of Scholarship,No,48,324,30,SOUTH LAWNDALE
609806,Myra Bradwell Communications Arts & Sciences Elementary School,No,31,775,43,SOUTH SHORE
609952,Nathanael Greene Elementary School,Yes,,631,59,MCKINLEY PARK
609960,Nathan Hale Elementary School,No,55,872,64,CLEARING
610134,Nathaniel Pope Elementary School,No,48,200,29,NORTH LAWNDALE
610348,Nathan R Goldblatt Elementary School,No,49,268,26,WEST GARFIELD PARK
609876,Nathan S Davis Elementary School,No,43,1032,58,BRIGHTON PARK
610231,National Teachers Elementary Academy,No,67,446,33,NEAR SOUTH SIDE
609692,Neal F Simeon Career Academy High School,No,52,1535,44,CHATHAM
610085,Near North Elementary School,No,50,91,24,WEST TOWN
610284,New Field Elementary School,No,,696,1,ROGERS PARK
610323,New Millennium High School of Health at Bowen,No,17,701,46,SOUTH CHICAGO
609792,Newton Bateman Elementary School,No,55,1015,16,IRVING PARK
609730,Nicholas Senn High School,No,48,1053,77,EDGEWATER
609793,Nicholson Technology Academy,No,48,464,68,ENGLEWOOD
609961,Ninos Heroes Elementary Academic Center,No,36,435,46,SOUTH CHICAGO
609810,Norman A Bridge Elementary School,No,67,1004,17,DUNNING
609691,North-Grand High School,No,42,883,23,HUMBOLDT PARK
610354,North River Elementary School,No,67,359,14,ALBANY PARK
609749,Northside College Preparatory High School,No,99,1053,13,NORTH PARK
609762,Percy L Julian High School,No,28,1226,73,WASHINGTON HEIGHTS
609744,Northside Learning Center High School,No,99,298,13,NORTH PARK
610051,Northwest Middle School,No,34,756,19,BELMONT CRAGIN
610099,Norwood Park Elementary School,No,99,359,10,NORWOOD PARK
610529,Ogden International High School,No,56,558,24,WEST TOWN
610201,Ole A Thorp Elementary Scholastic Academy,No,70,834,17,DUNNING
610300,Oliver S Westcott Elementary School,No,30,413,44,CHATHAM
609997,Oliver Wendell Holmes Elementary School,No,21,334,68,ENGLEWOOD
610105,Oriole Park Elementary School,No,99,648,10,NORWOOD PARK
610329,Orozco Fine Arts & Sciences Elementary School,No,55,636,31,LOWER WEST SIDE
610389,Orr Academy High School,No,,831,23,HUMBOLDT PARK
609811,Orville T Bright Elementary School,No,18,361,51,SOUTH DEERING
610367,Oscar DePriest Elementary School,No,35,524,25,AUSTIN
610059,Oscar F Mayer Elementary School,No,67,605,7,LINCOLN PARK
610021,Pablo Casals Elementary School,No,,505,23,HUMBOLDT PARK
610115,Park Manor Elementary School,No,28,352,69,GREATER GRAND CROSSING
610116,Parkside Elementary Community Academy,No,,348,43,SOUTH SHORE
609988,Patrick Henry Elementary School,No,45,650,16,IRVING PARK
610003,Paul Cuffe Math-Science Technology Academy Elementary School,No,51,512,71,AUBURN GRESHAM
609676,Paul Laurence Dunbar Career Academy High School,No,29,1456,35,DOUGLAS
610146,Paul Revere Elementary School,No,36,320,69,GREATER GRAND CROSSING
609707,Paul Robeson High School,No,29,733,68,ENGLEWOOD
609791,Perkins Bass Elementary School,No,28,369,68,ENGLEWOOD
610395,Pershing West Middle School,No,46,269,35,DOUGLAS
610145,Peter A Reinberg Elementary School,No,60,832,15,PORTAGE PARK
609867,Peter Cooper Elementary Dual Language Academy,No,,709,31,LOWER WEST SIDE
610147,Philip Rogers Elementary School,No,81,735,2,WEST RIDGE
609777,Phillip D Armour Elementary School,No,36,365,60,BRIDGEPORT
610090,Phillip Murray Elementary Language Academy,No,66,533,41,HYDE PARK
609981,Phobe Apperson Hearst Elementary School,No,33,364,56,GARFIELD RIDGE
610304,Phoenix Military Academy High School,No,53,461,28,NEAR WEST SIDE
610013,Pilsen Elementary Community Academy,No,43,447,31,LOWER WEST SIDE
610135,Portage Park Elementary School,No,62,1139,15,PORTAGE PARK
610138,Pulaski International Academy Elmentary School,No,68,864,22,LOGAN SQUARE
609842,Rachel Carson Elementary School,No,38,1222,63,GAGE PARK
609902,Ralph H Metcalfe Elementary Community Academy,No,,489,53,WEST PULLMAN
610141,Ravenswood Elementary School,No,46,465,6,LAKE VIEW
609769,Ray Graham Training Center High School,No,90,137,33,NEAR SOUTH SIDE
609903,Richard Edwards Elementary School,No,48,1503,57,ARCHER HEIGHTS
610291,Richard Henry Lee Elementary School,No,59,832,65,WEST LAWN
610239,Richard J Daley Elementary Academy,No,29,797,61,NEW CITY
610102,Richard J Oglesby Elementary School,No,44,402,71,AUBURN GRESHAM
609702,Richard T Crane Technical Preparatory High School,No,43,478,28,NEAR WEST SIDE
610234,Richard Yates Elementary School,No,42,690,22,LOGAN SQUARE
609695,Roald Amundsen High School,No,51,1532,4,LINCOLN SQUARE
610350,Robert A Black Magnet Elementary School,No,68,474,48,CALUMET HEIGHTS
609906,Robert Emmet Elementary School,No,37,460,25,AUSTIN
609929,Robert Fulton Elementary School,No,46,466,61,NEW CITY
609979,Robert Healy Elementary School,No,63,1384,60,BRIDGEPORT
610045,Robert H Lawrence Elementary School,No,19,371,51,SOUTH DEERING
609956,Robert L Grimes Elementary School,No,79,486,64,CLEARING
610391,Robert Lindblom Math & Science Academy High School,No,66,916,67,WEST ENGLEWOOD
610252,Robert Nathaniel Dett Elementary School,No,48,250,28,NEAR WEST SIDE
609759,Roberto Clemente Community Academy High School,No,44,1016,24,WEST TOWN
610029,Rodolfo Lozano Bilingual & International Center Elementary School,No,55,319,24,WEST TOWN
609733,Roger C Sullivan High School,No,30,826,1,ROGERS PARK
610091,Ronald Brown Elementary Community Academy,No,31,283,53,WEST PULLMAN
610282,Ronald E McNair Elementary School,No,31,422,25,AUSTIN
609826,Rosario Castellanos Elementary School,No,36,525,30,SOUTH LAWNDALE
610056,Roswell B Mason Elementary School,No,37,479,29,NORTH LAWNDALE
610027,Rudyard Kipling Elementary School,No,52,445,73,WASHINGTON HEIGHTS
610250,Rueben Salazar Elementary Bilingual Center,No,64,444,8,NEAR NORTH SIDE
609995,Rufus M Hitch Elementary School,Yes,64,542,10,NORWOOD PARK
609853,Salmon P Chase Elementary School,No,55,504,22,LOGAN SQUARE
609943,Samuel Gompers Fine Arts Options Elementary School,No,34,285,53,WEST PULLMAN
610155,Sauganash Elementary School,No,99,549,12,FOREST GLEN
609805,Scott Joplin Elementary School,No,35,538,71,AUBURN GRESHAM
609968,Sharon Christa McAuliffe Elementary School,Yes,,862,20,HERMOSA
610157,Sidney Sawyer Elementary School,No,57,1846,63,GAGE PARK
610283,Simon Guggenheim Elementary School,No,30,291,68,ENGLEWOOD
610521,Sir Miles Davis Magnet Elementary Academy,No,35,354,67,WEST ENGLEWOOD
610534,Skinner North,No,,242,8,NEAR NORTH SIDE
610226,Socorro Sandoval Elementary School,No,,1186,63,GAGE PARK
610160,Songhai Elementary Learning Institute,No,17,352,53,WEST PULLMAN
609990,South Loop Elementary School,No,84,795,33,NEAR SOUTH SIDE
610530,South Shore Fine Arts Academy,No,,255,43,SOUTH SHORE
609745,Southside Occupational Academy High School,No,,201,67,WEST ENGLEWOOD
610183,Spencer Technology Academy,No,35,811,25,AUSTIN
610357,Spry Community Links High School,No,70,205,30,SOUTH LAWNDALE
609880,Stephen Decatur Classical Elementary School,No,99,289,2,WEST RIDGE
609933,Stephen F Gale Elementary Community Academy,No,39,532,1,ROGERS PARK
609976,Stephen K Hayt Elementary School,No,72,1000,77,EDGEWATER
609724,Stephen T Mather High School,No,58,1657,2,WEST RIDGE
610191,Stone Elementary Scholastic Academy,No,78,646,2,WEST RIDGE
610405,Suder Montessori Magnet Elementary School,No,,351,28,NEAR WEST SIDE
610249,Talman Elementary School,No,99,376,63,GAGE PARK
610396,Tarkington School of Excellence Elementary School,No,48,1070,66,CHICAGO LAWN
610506,TEAM Englewood Community Academy High School,No,45,440,68,ENGLEWOOD
609921,Telpochcalli Elementary School,No,42,285,30,SOUTH LAWNDALE
609991,Theodore Herzl Elementary School,No,41,512,29,NORTH LAWNDALE
609728,Theodore Roosevelt High School,No,42,1490,14,ALBANY PARK
610178,Theophilus Schmid Elementary School,No,46,185,50,PULLMAN
609794,Thomas A Edison Regional Gifted Center Elementary School,No,91,269,14,ALBANY PARK
609987,Thomas A Hendricks Elementary Community Academy,No,33,307,37,FULLER PARK
609851,Thomas Chalmers Specialty Elementary School,No,34,288,29,NORTH LAWNDALE
609896,Thomas Drummond Elementary School,No,72,352,22,LOGAN SQUARE
610002,Thomas Hoyne Elementary School,No,67,288,48,CALUMET HEIGHTS
610295,Thomas J Higgins Elementary Community Academy,No,,369,53,WEST PULLMAN
610220,Thomas J Waters Elementary School,No,85,590,4,LINCOLN SQUARE
609715,Thomas Kelly High School,No,36,2883,58,BRIGHTON PARK
610321,Thurgood Marshall Middle School,No,39,435,16,IRVING PARK
609895,Turner-Drew Elementary Language Academy,No,56,373,49,ROSELAND
610394,Uplift Community High School,No,50,473,3,UPTOWN
610504,Velma F Thomas Early Childhood Center,No,,211,59,MCKINLEY PARK
609989,Victor Herbert Elementary School,No,50,398,28,NEAR WEST SIDE
609944,Virgil Grissom Elementary School,No,62,330,55,HEGEWISCH
610518,VOISE Academy High School,No,42,410,25,AUSTIN
610363,Walt Disney Magnet Elementary School,No,,1651,3,UPTOWN
610095,Walter L Newberry Math & Science Academy Elementary School,No,71,558,7,LINCOLN PARK
609680,Walter Payton College Preparatory High School,No,98,881,8,NEAR NORTH SIDE
609955,Walter Q Gresham Elementary School,No,25,359,71,AUBURN GRESHAM
610264,Walter Reed Elementary School,No,29,44,68,ENGLEWOOD
609855,Walter S Christopher Elementary School,No,,279,63,GAGE PARK
610179,Washington D Smyser Elementary School,No,55,1047,15,PORTAGE PARK
610121,Washington Irving Elementary School,No,43,482,28,NEAR WEST SIDE
609740,Wells Community Academy High School,No,51,633,24,WEST TOWN
610032,Wendell E Green Elementary School,No,32,254,73,WASHINGTON HEIGHTS
609727,Wendell Phillips Academy High School,No,,590,35,DOUGLAS
609978,Wendell Smith Elementary School,No,22,363,50,PULLMAN
610100,West Park Elementary Academy,No,29,686,23,HUMBOLDT PARK
610224,West Pullman Elementary School,No,23,343,53,WEST PULLMAN
610542,West Ridge Elementary School,No,67,659,2,WEST RIDGE
609755,Whitney M Young Magnet High School,No,95,2166,28,NEAR WEST SIDE
610230,Wildwood Elementary School,No,99,414,12,FOREST GLEN
610251,Willa Cather Elementary School,No,69,234,27,EAST GARFIELD PARK
610299,William A Hinton Elementary School,No,18,321,68,ENGLEWOOD
610109,William Bishop Owen Scholastic Academy Elementary School,No,49,243,70,ASHBURN
610101,William B Ogden Elementary School,No,,722,8,NEAR NORTH SIDE
609945,William C Goudy Elementary School,No,70,805,3,UPTOWN
610143,William C Reavis Math & Science Specialty Elementary School,No,48,311,39,KENWOOD
610364,William E B Dubois Elementary School,No,47,184,54,RIVERDALE
609884,William E Dever Elementary School,No,67,843,17,DUNNING
609967,William F Finkl Elementary School,No,56,588,31,LOWER WEST SIDE
609994,William G Hibbard Elementary School,No,,1239,14,ALBANY PARK
609812,William H Brown Elementary School,No,36,217,28,NEAR WEST SIDE
610023,William H King Elementary School,No,47,264,28,NEAR WEST SIDE
609734,William Howard Taft High School,No,61,2922,10,NORWOOD PARK
610136,William H Prescott Elementary School,No,90,240,7,LINCOLN PARK
610142,William H Ray Elementary School,No,69,654,41,HYDE PARK
610153,William H Ryder Math & Science Specialty Elementary School,No,34,302,71,AUBURN GRESHAM
610167,William H Seward Communication Arts Academy Elementary School,No,40,896,61,NEW CITY
609698,William J Bogan High School,No,20,1656,70,ASHBURN
610061,William J & Charles H Mayo Elementary School,No,52,453,35,DOUGLAS
610104,William J Onahan Elementary School,No,64,687,10,NORWOOD PARK
609678,William Jones College Preparatory High School,No,92,871,32,LOOP
610193,William K New Sullivan Elementary School,No,27,527,46,SOUTH CHICAGO
610123,William Penn Elementary School,No,78,423,29,NORTH LAWNDALE
609949,William P Gray Elementary School,No,57,1345,15,PORTAGE PARK
610097,William P Nixon Elementary School,No,52,1061,20,HERMOSA
609711,William Rainey Harper High School,No,22,621,67,WEST ENGLEWOOD
610232,Williams Multiplex Elementary School,No,,266,35,DOUGLAS
610336,Williams Preparatory Academy Middle School,No,49,125,35,DOUGLAS
610172,William T Sherman Elementary School,No,32,462,61,NEW CITY
609844,William W Carter Elementary School,No,13,371,40,WASHINGTON PARK
610088,Wolfgang A Mozart Elementary School,No,41,748,22,LOGAN SQUARE
609977,Woodlawn Community Elementary School,No,70,238,42,WOODLAWN
610392,World Language Academy High School,No,51,382,30,SOUTH LAWNDALE